id,description,family,weight_kg,wms_weight_kg,erp_weight_kg,fitment_wms,fitment_erp,storage_class,hazmat,supplier,bin,bin_active,reorder_point,safety_stock
CH-6530-023,Wheel carrier LH,Chassis,8.89,8.89,8.89,RH,RH,ambient,False,SUP-163,Q-04-08,True,176,27
PO-2697-024,Clutch actuator Gen 2,Powertrain,3.31,3.31,3.31,LH,LH,ambient,False,SUP-067,JIS-07-18,True,169,49
PO-5103-025,Fuel rail Gen 2,Powertrain,12.99,12.99,12.99,RH,RH,ambient,False,SUP-082,B-07-06,True,167,26
IN-5663-026,Console module Gen 2,Interior,14.27,14.27,14.27,RH,RH,ambient,False,SUP-129,JIS-07-18,True,152,89
CH-5917-027,Steering knuckle RH,Chassis,21.16,21.16,21.16,LH,LH,ambient,False,SUP-036,A-12-03,True,147,65
FL-9071-028,Coolant additive Gen 2,Fluids,20.19,20.19,20.19,RH,RH,hazmat,True,SUP-061,A-12-05,True,165,76
FL-5263-029,Sealant cartridge Gen 2,Fluids,20.5,20.5,20.5,LH,LH,ambient,False,SUP-109,B-07-01,True,133,76
PO-2260-030,Clutch actuator Gen 2,Powertrain,23.41,23.41,23.41,LH,LH,ambient,False,SUP-128,JIS-07-06,True,72,73
CH-1762-031,Brake line manifold Gen 2,Chassis,8.09,8.09,8.09,RH,RH,ambient,False,SUP-187,JIS-07-08,True,89,75
FL-4235-032,Brake fluid reservoir Premium,Fluids,15.18,15.18,15.18,RH,RH,ambient,False,SUP-011,Q-04-15,True,210,47
PO-2160-033,Clutch actuator Premium,Powertrain,24.2,24.2,24.2,LH,LH,ambient,False,SUP-019,JIS-07-08,True,161,55
CH-1493-034,Wheel carrier RH,Chassis,18.99,18.99,18.99,LH,LH,ambient,False,SUP-086,HZ-02-10,True,148,72
EL-5207-035,Camera harness LH,Electronics,14.1,14.1,14.1,RH,RH,ambient,False,SUP-026,JIS-07-05,True,85,28
PO-4709-036,Fuel rail RH,Powertrain,1.07,1.07,1.07,RH,RH,ambient,False,SUP-174,Q-04-11,True,148,44
CH-8589-037,Steering knuckle Gen 2,Chassis,8.81,8.81,8.81,RH,RH,ambient,False,SUP-128,JIS-07-04,True,178,59
PO-8601-038,Gear selector Premium,Powertrain,6.79,6.79,6.79,LH,LH,ambient,False,SUP-079,HZ-02-09,True,218,55
CH-5520-039,Control arm Gen 2,Chassis,13.74,13.74,13.74,LH,LH,ambient,False,SUP-150,HZ-02-06,True,214,32
PO-6199-040,Torque converter LH,Powertrain,17.72,17.72,17.72,RH,RH,ambient,False,SUP-068,Q-04-09,True,112,74
FL-9858-041,Coolant additive LH,Fluids,4.34,4.34,4.34,RH,RH,ambient,False,SUP-085,B-07-03,True,203,34
PO-6660-042,Clutch actuator Premium,Powertrain,18.51,18.51,18.51,LH,LH,ambient,False,SUP-003,JIS-07-09,True,119,45
EL-9326-043,Camera harness LH,Electronics,13.68,13.68,13.68,LH,LH,ambient,False,SUP-128,Q-04-08,True,101,57
CH-2181-044,Control arm RH,Chassis,8.92,8.92,8.92,RH,RH,ambient,False,SUP-068,HZ-02-05,True,152,79
PO-9230-045,Fuel rail LH,Powertrain,13.0,13.0,13.0,LH,LH,ambient,False,SUP-173,Q-04-07,True,137,73
EL-8334-046,ECU control module RH,Electronics,12.38,12.38,12.38,RH,RH,ambient,False,SUP-027,JIS-07-05,True,90,42
FL-6503-047,Washer concentrate RH,Fluids,9.61,9.61,9.61,LH,LH,ambient,False,SUP-011,A-12-15,True,159,80
IN-5362-048,Console module Gen 2,Interior,4.69,4.69,4.69,RH,RH,ambient,False,SUP-080,B-07-17,True,191,56
FL-5157-049,Washer concentrate Premium,Fluids,21.17,21.17,21.17,RH,RH,hazmat,True,SUP-079,Q-04-02,True,146,62
IN-3972-050,Door trim panel LH,Interior,17.42,17.42,17.42,LH,LH,ambient,False,SUP-151,A-12-01,True,128,69
CH-5217-051,Steering knuckle Gen 2,Chassis,9.32,9.32,9.32,LH,LH,ambient,False,SUP-028,A-12-15,True,142,62
CH-1261-052,Steering knuckle RH,Chassis,3.74,3.74,3.74,RH,RH,ambient,False,SUP-071,A-12-17,True,211,90
EL-6484-053,ECU control module Premium,Electronics,15.84,15.84,15.84,RH,RH,ambient,False,SUP-118,Q-04-02,True,76,38
PO-5301-054,Fuel rail Gen 2,Powertrain,20.52,20.52,20.52,RH,RH,ambient,False,SUP-188,A-12-18,True,136,33
IN-6828-055,Door trim panel LH,Interior,20.08,20.08,20.08,LH,LH,ambient,False,SUP-012,A-12-15,True,194,89
IN-1720-056,Wiring harness assembly LH,Interior,18.68,18.68,18.68,RH,RH,ambient,False,SUP-181,B-07-06,True,140,44
PO-8868-057,Torque converter LH,Powertrain,13.41,13.41,13.41,LH,LH,ambient,False,SUP-072,JIS-07-06,True,132,27
PO-2157-058,Clutch actuator RH,Powertrain,5.55,5.55,5.55,LH,LH,ambient,False,SUP-125,A-12-16,True,178,77
IN-3790-059,Door trim panel RH,Interior,16.3,16.3,16.3,LH,LH,ambient,False,SUP-039,JIS-07-12,True,181,78
FL-7527-060,Washer concentrate LH,Fluids,4.07,4.07,4.07,RH,RH,hazmat,True,SUP-165,HZ-02-14,True,108,56
CH-5467-061,Steering knuckle Gen 2,Chassis,9.34,9.34,9.34,LH,LH,ambient,False,SUP-039,JIS-07-09,True,110,89
EL-2112-062,Power distribution unit Premium,Electronics,20.07,20.07,20.07,LH,LH,ambient,False,SUP-166,B-07-14,True,64,65
IN-7885-063,Door trim panel LH,Interior,16.59,16.59,16.59,RH,RH,ambient,False,SUP-022,JIS-07-02,True,98,64
IN-4526-064,Door trim panel RH,Interior,9.39,9.39,9.39,RH,RH,ambient,False,SUP-096,Q-04-08,True,72,75
FL-8185-065,Coolant additive RH,Fluids,0.84,0.84,0.84,RH,RH,hazmat,True,SUP-132,B-07-09,True,174,60
FL-4138-066,Washer concentrate Gen 2,Fluids,9.42,9.42,9.42,LH,LH,ambient,False,SUP-137,HZ-02-13,True,157,31
EL-9317-067,Radar sensor LH,Electronics,0.68,0.68,0.68,LH,LH,ambient,False,SUP-151,Q-04-08,True,167,39
PO-2670-068,Torque converter Gen 2,Powertrain,21.07,21.07,21.07,LH,LH,ambient,False,SUP-049,HZ-02-15,True,198,78
EL-2711-069,Camera harness Gen 2,Electronics,6.06,6.06,6.06,LH,LH,ambient,False,SUP-031,HZ-02-09,True,98,54
CH-4931-070,Brake line manifold LH,Chassis,5.67,5.67,5.67,LH,LH,ambient,False,SUP-121,HZ-02-06,True,202,83
FL-5855-071,Washer concentrate RH,Fluids,20.62,20.62,20.62,RH,RH,ambient,False,SUP-146,A-12-03,True,167,59
CH-2222-072,Wheel carrier Gen 2,Chassis,24.38,24.38,24.38,RH,RH,ambient,False,SUP-180,B-07-18,True,175,41
FL-5763-073,Washer concentrate Gen 2,Fluids,3.85,3.85,3.85,RH,RH,hazmat,True,SUP-053,Q-04-18,True,74,25
CH-6920-074,Control arm Premium,Chassis,24.29,24.29,24.29,RH,RH,ambient,False,SUP-081,B-07-15,True,220,56
CH-1172-075,Steering knuckle RH,Chassis,8.87,8.87,8.87,LH,LH,ambient,False,SUP-186,Q-04-18,True,94,74
FL-7899-076,Coolant additive RH,Fluids,19.94,19.94,19.94,LH,LH,hazmat,True,SUP-164,JIS-07-02,False,173,80
IN-8919-077,Door trim panel RH,Interior,15.59,15.59,15.59,LH,LH,ambient,False,SUP-135,JIS-07-08,True,196,73
EL-2683-078,Power distribution unit Premium,Electronics,17.3,17.3,17.3,RH,RH,ambient,False,SUP-140,JIS-07-06,True,211,30
FL-3018-079,Coolant additive RH,Fluids,9.26,9.26,9.26,RH,RH,ambient,False,SUP-045,HZ-02-11,True,79,42
IN-6043-080,Door trim panel LH,Interior,11.57,11.57,11.57,RH,RH,ambient,False,SUP-094,A-12-09,True,164,30
IN-3087-081,Seat rail Premium,Interior,3.67,3.67,3.67,LH,LH,ambient,False,SUP-152,A-12-09,True,122,78
IN-4436-082,Wiring harness assembly LH,Interior,3.55,3.55,3.55,RH,RH,ambient,False,SUP-056,JIS-07-02,True,193,51
CH-2278-083,Steering knuckle LH,Chassis,3.65,3.65,3.65,RH,RH,ambient,False,SUP-104,Q-04-14,True,123,77
FL-3169-084,Sealant cartridge RH,Fluids,5.48,5.48,5.48,RH,RH,ambient,False,SUP-074,A-12-01,True,70,31
FL-5323-085,Brake fluid reservoir LH,Fluids,6.85,6.85,6.85,RH,RH,ambient,False,SUP-066,B-07-01,True,192,37
EL-1986-086,ECU control module Premium,Electronics,9.68,9.68,9.68,LH,LH,ambient,False,SUP-011,JIS-07-03,True,102,67
PO-3853-087,Clutch actuator RH,Powertrain,20.94,20.94,20.94,RH,RH,ambient,False,SUP-055,HZ-02-01,True,86,77
EL-1658-088,Power distribution unit LH,Electronics,22.53,22.53,22.53,LH,LH,ambient,False,SUP-127,Q-04-13,True,73,55
FL-2951-089,Washer concentrate Premium,Fluids,7.31,7.31,7.31,LH,LH,ambient,False,SUP-110,B-07-14,True,106,63
IN-7694-090,Console module RH,Interior,22.22,22.22,22.22,RH,RH,ambient,False,SUP-170,JIS-07-11,True,191,61
CH-7459-091,Brake line manifold Gen 2,Chassis,1.38,1.38,1.38,RH,RH,ambient,False,SUP-043,JIS-07-18,True,219,59
EL-2548-092,ECU control module Premium,Electronics,16.75,16.75,16.75,LH,LH,ambient,False,SUP-163,Q-04-01,True,174,31
PO-7553-093,Clutch actuator RH,Powertrain,1.54,1.54,1.54,LH,LH,ambient,False,SUP-039,Q-04-04,True,136,58
EL-6804-094,Radar sensor Gen 2,Electronics,11.88,11.88,11.88,RH,RH,ambient,False,SUP-135,Q-04-05,True,171,89
CH-1122-095,Brake line manifold Premium,Chassis,13.33,13.33,13.33,RH,RH,ambient,False,SUP-040,A-12-06,True,138,78
CH-5073-096,Wheel carrier LH,Chassis,12.67,12.67,12.67,RH,RH,ambient,False,SUP-152,HZ-02-13,True,125,65
CH-4934-097,Brake line manifold Gen 2,Chassis,16.75,16.75,16.75,LH,LH,ambient,False,SUP-083,B-07-02,True,97,41
FL-7443-098,Brake fluid reservoir Premium,Fluids,18.86,18.86,18.86,RH,RH,hazmat,True,SUP-164,A-12-04,True,71,44
IN-3439-099,Door trim panel LH,Interior,23.01,23.01,23.01,RH,RH,ambient,False,SUP-111,B-07-04,True,168,52
PO-1552-100,Gear selector Gen 2,Powertrain,10.51,10.51,10.51,RH,RH,ambient,False,SUP-092,B-07-02,True,158,57
EL-6950-101,Camera harness Premium,Electronics,9.41,9.41,9.41,RH,RH,ambient,False,SUP-167,HZ-02-18,True,76,46
EL-8482-102,Power distribution unit LH,Electronics,13.94,13.94,13.94,RH,RH,ambient,False,SUP-061,HZ-02-17,True,173,69
FL-5259-103,Brake fluid reservoir Premium,Fluids,21.98,21.98,21.98,LH,LH,ambient,False,SUP-167,Q-04-07,True,94,83
PO-3959-104,Fuel rail Gen 2,Powertrain,2.27,2.27,2.27,RH,RH,ambient,False,SUP-180,A-12-06,True,138,31
FL-2114-105,Sealant cartridge RH,Fluids,19.83,19.83,19.83,LH,LH,ambient,False,SUP-178,HZ-02-14,True,218,44
PO-9154-106,Clutch actuator Premium,Powertrain,2.66,2.66,2.66,RH,RH,ambient,False,SUP-150,JIS-07-18,True,214,82
IN-9152-107,Seat rail LH,Interior,11.98,11.98,11.98,LH,LH,ambient,False,SUP-021,HZ-02-12,True,89,35
CH-9836-108,Control arm Premium,Chassis,8.31,8.31,8.31,RH,RH,ambient,False,SUP-103,HZ-02-18,True,208,77
CH-3631-109,Control arm Premium,Chassis,2.44,2.44,2.44,LH,LH,ambient,False,SUP-031,A-12-10,True,188,49
FL-8828-110,Washer concentrate Gen 2,Fluids,14.49,14.49,14.49,LH,LH,ambient,False,SUP-096,B-07-03,True,185,36
IN-9463-111,Door trim panel RH,Interior,9.64,9.64,9.64,LH,LH,ambient,False,SUP-150,JIS-07-18,True,192,68
EL-9856-112,Radar sensor Premium,Electronics,22.65,22.65,22.65,LH,LH,ambient,False,SUP-009,A-12-05,True,93,39
FL-7214-113,Sealant cartridge Gen 2,Fluids,2.85,2.85,2.85,RH,RH,ambient,False,SUP-142,JIS-07-12,True,131,65
IN-8460-114,Seat rail Premium,Interior,7.39,7.39,7.39,RH,RH,ambient,False,SUP-167,B-07-18,True,169,63
FL-9456-115,Sealant cartridge Premium,Fluids,3.78,3.78,3.78,LH,LH,ambient,False,SUP-110,B-07-18,True,113,65
PO-6937-116,Torque converter Premium,Powertrain,23.07,23.07,23.07,RH,RH,ambient,False,SUP-155,HZ-02-10,True,196,72
CH-5031-117,Control arm LH,Chassis,4.47,4.47,4.47,RH,RH,ambient,False,SUP-038,B-07-01,True,163,60
CH-2501-118,Wheel carrier Gen 2,Chassis,5.87,5.87,5.87,LH,LH,ambient,False,SUP-188,B-07-07,True,84,41
CH-4500-119,Control arm Gen 2,Chassis,14.18,14.18,14.18,RH,RH,ambient,False,SUP-105,Q-04-02,True,169,25
EL-5752-120,Power distribution unit LH,Electronics,20.25,20.25,20.25,RH,RH,ambient,False,SUP-139,A-12-06,True,192,27
PO-5219-121,Clutch actuator Gen 2,Powertrain,2.2,2.2,2.2,RH,RH,ambient,False,SUP-020,JIS-07-05,True,101,44
CH-2177-122,Brake line manifold RH,Chassis,17.46,17.46,17.46,LH,LH,ambient,False,SUP-188,A-12-16,True,180,82
EL-2107-123,Power distribution unit LH,Electronics,7.6,7.6,7.6,LH,LH,ambient,False,SUP-150,Q-04-12,True,137,79
EL-5077-124,ECU control module LH,Electronics,22.25,22.25,22.25,LH,LH,ambient,False,SUP-175,HZ-02-18,True,119,54
FL-4303-125,Washer concentrate Premium,Fluids,7.46,7.46,7.46,LH,LH,hazmat,True,SUP-016,JIS-07-18,True,157,30
FL-2069-126,Brake fluid reservoir Gen 2,Fluids,4.35,4.35,4.35,RH,RH,ambient,False,SUP-114,JIS-07-16,True,147,57
IN-6734-127,Console module LH,Interior,15.76,15.76,15.76,LH,LH,ambient,False,SUP-141,B-07-15,True,208,49
CH-2432-128,Steering knuckle Gen 2,Chassis,23.58,23.58,23.58,RH,RH,ambient,False,SUP-015,JIS-07-07,True,217,70
EL-9091-129,ECU control module RH,Electronics,9.92,9.92,9.92,RH,RH,ambient,False,SUP-200,JIS-07-08,True,186,75
FL-1442-130,Sealant cartridge Premium,Fluids,10.48,10.48,10.48,RH,RH,ambient,False,SUP-149,A-12-06,True,84,78
IN-9522-131,Seat rail Premium,Interior,16.5,16.5,16.5,LH,LH,ambient,False,SUP-189,HZ-02-16,True,108,79
FL-7682-132,Coolant additive RH,Fluids,13.8,13.8,13.8,RH,RH,ambient,False,SUP-072,B-07-10,True,171,27
CH-8908-133,Steering knuckle LH,Chassis,4.68,4.68,4.68,LH,LH,ambient,False,SUP-012,B-07-12,True,177,82
FL-8067-134,Washer concentrate LH,Fluids,6.42,6.42,6.42,RH,RH,ambient,False,SUP-088,B-07-11,True,209,66
CH-3954-135,Control arm RH,Chassis,17.46,17.46,17.46,LH,LH,ambient,False,SUP-118,HZ-02-14,True,200,34
IN-2231-136,Seat rail Premium,Interior,19.43,19.43,19.43,LH,LH,ambient,False,SUP-006,JIS-07-10,True,181,90
FL-7234-137,Sealant cartridge LH,Fluids,1.6,1.6,1.6,LH,LH,hazmat,True,SUP-095,Q-04-03,True,145,82
CH-4720-138,Brake line manifold LH,Chassis,12.04,12.04,12.04,LH,LH,ambient,False,SUP-091,Q-04-14,True,125,54
PO-6981-139,Fuel rail RH,Powertrain,9.44,9.44,9.44,RH,RH,ambient,False,SUP-079,Q-04-16,True,62,47
PO-5892-140,Gear selector Premium,Powertrain,22.11,22.11,22.11,LH,LH,ambient,False,SUP-057,Q-04-04,True,76,52
PO-1704-141,Clutch actuator Premium,Powertrain,15.26,15.26,15.26,RH,RH,ambient,False,SUP-193,JIS-07-10,True,218,39
PO-1869-142,Torque converter RH,Powertrain,13.22,13.22,13.22,RH,RH,ambient,False,SUP-138,B-07-16,True,116,44
FL-6434-143,Sealant cartridge RH,Fluids,3.45,3.45,3.45,LH,LH,ambient,False,SUP-146,B-07-16,True,194,69
PO-3736-144,Gear selector Gen 2,Powertrain,1.63,1.63,1.63,LH,LH,ambient,False,SUP-080,Q-04-12,True,151,84
IN-9552-145,Wiring harness assembly Premium,Interior,21.42,21.42,21.42,RH,RH,ambient,False,SUP-104,HZ-02-05,True,177,76
IN-8820-146,Wiring harness assembly RH,Interior,12.41,12.41,12.41,LH,LH,ambient,False,SUP-019,JIS-07-13,True,94,64
EL-1546-147,Camera harness RH,Electronics,3.89,3.89,3.89,LH,LH,ambient,False,SUP-139,Q-04-06,True,169,85
EL-2462-148,ECU control module Gen 2,Electronics,22.86,22.86,22.86,RH,RH,ambient,False,SUP-044,Q-04-03,True,175,25
EL-9907-149,ECU control module Premium,Electronics,12.88,12.88,12.88,LH,LH,ambient,False,SUP-179,A-12-01,True,209,47
FL-9282-150,Coolant additive Gen 2,Fluids,2.26,2.26,2.26,LH,LH,ambient,False,SUP-010,Q-04-14,True,189,77
IN-3646-151,Console module Premium,Interior,7.51,7.51,7.51,RH,RH,ambient,False,SUP-104,Q-04-13,True,61,60
IN-3868-152,Console module Premium,Interior,7.77,7.77,7.77,RH,RH,ambient,False,SUP-063,B-07-05,True,125,50
EL-4860-153,ECU control module RH,Electronics,19.05,19.05,19.05,LH,LH,ambient,False,SUP-014,B-07-16,True,82,65
FL-6701-154,Coolant additive Premium,Fluids,15.31,15.31,15.31,LH,LH,hazmat,True,SUP-082,B-07-18,True,152,25
CH-8080-155,Brake line manifold Gen 2,Chassis,18.36,18.36,18.36,RH,RH,ambient,False,SUP-045,HZ-02-09,True,187,27
CH-6982-156,Wheel carrier Gen 2,Chassis,3.21,3.21,3.21,RH,RH,ambient,False,SUP-068,JIS-07-03,True,185,70
CH-5753-157,Steering knuckle RH,Chassis,18.01,18.01,18.01,RH,RH,ambient,False,SUP-107,JIS-07-06,True,62,34
PO-2039-158,Torque converter Premium,Powertrain,7.01,7.01,7.01,LH,LH,ambient,False,SUP-159,B-07-05,True,121,47
CH-5194-159,Steering knuckle Gen 2,Chassis,22.16,22.16,22.16,LH,LH,ambient,False,SUP-050,HZ-02-17,True,107,65
IN-8838-160,Door trim panel LH,Interior,18.38,18.38,18.38,LH,LH,ambient,False,SUP-136,JIS-07-12,True,111,39
IN-9075-161,Door trim panel Gen 2,Interior,22.75,22.75,22.75,LH,LH,ambient,False,SUP-116,A-12-18,True,164,57
FL-9050-162,Coolant additive Gen 2,Fluids,6.75,6.75,6.75,RH,RH,hazmat,True,SUP-008,Q-04-01,True,214,35
EL-4277-163,Radar sensor Gen 2,Electronics,7.82,7.82,7.82,LH,LH,ambient,False,SUP-192,Q-04-02,True,220,81
EL-4066-164,Camera harness Gen 2,Electronics,17.07,17.07,17.07,LH,LH,ambient,False,SUP-170,JIS-07-11,True,73,49
EL-7012-165,Camera harness Gen 2,Electronics,13.68,13.68,13.68,RH,RH,ambient,False,SUP-104,A-12-17,True,140,63
FL-5908-166,Coolant additive LH,Fluids,15.39,15.39,15.39,RH,RH,hazmat,True,SUP-181,A-12-03,True,90,84
PO-7796-167,Torque converter Gen 2,Powertrain,22.95,22.95,22.95,RH,RH,ambient,False,SUP-121,B-07-14,True,62,85
PO-2892-168,Torque converter Gen 2,Powertrain,18.13,18.13,18.13,RH,RH,ambient,False,SUP-040,HZ-02-05,True,95,51
CH-1225-169,Wheel carrier Premium,Chassis,10.6,10.6,10.6,LH,LH,ambient,False,SUP-063,Q-04-12,True,96,83
EL-3613-170,Radar sensor LH,Electronics,3.36,3.36,3.36,RH,RH,ambient,False,SUP-045,HZ-02-02,True,196,48
EL-3748-171,Radar sensor Gen 2,Electronics,7.84,7.84,7.84,RH,RH,ambient,False,SUP-168,JIS-07-17,True,143,72
IN-6327-172,Console module RH,Interior,8.9,8.9,8.9,RH,RH,ambient,False,SUP-156,Q-04-03,True,154,60
EL-8130-173,ECU control module LH,Electronics,1.41,1.41,1.41,RH,RH,ambient,False,SUP-119,Q-04-18,True,135,83
CH-5105-174,Control arm Premium,Chassis,13.66,13.66,13.66,LH,LH,ambient,False,SUP-081,A-12-05,True,66,36
PO-3322-175,Fuel rail RH,Powertrain,21.55,21.55,21.55,LH,LH,ambient,False,SUP-040,A-12-07,True,65,74
EL-6244-176,Camera harness LH,Electronics,5.17,5.17,5.17,LH,LH,ambient,False,SUP-075,A-12-12,True,200,58
CH-8889-177,Brake line manifold RH,Chassis,22.57,22.57,22.57,LH,LH,ambient,False,SUP-082,B-07-11,True,187,32
EL-5482-178,Camera harness RH,Electronics,22.47,22.47,22.47,LH,LH,ambient,False,SUP-156,B-07-17,True,215,58
CH-3292-179,Control arm LH,Chassis,5.13,5.13,5.13,RH,RH,ambient,False,SUP-086,A-12-10,True,90,88
CH-4866-180,Steering knuckle LH,Chassis,11.92,11.92,11.92,RH,RH,ambient,False,SUP-038,JIS-07-02,True,102,76
FL-1851-181,Sealant cartridge Gen 2,Fluids,15.37,15.37,15.37,RH,RH,hazmat,True,SUP-027,JIS-07-17,True,205,27
CH-6973-182,Steering knuckle Premium,Chassis,4.91,4.91,4.91,LH,LH,ambient,False,SUP-017,JIS-07-01,True,105,45
IN-8069-183,Wiring harness assembly Gen 2,Interior,20.97,20.97,20.97,RH,RH,ambient,False,SUP-018,B-07-11,True,103,72
FL-1524-184,Sealant cartridge LH,Fluids,10.16,10.16,10.16,RH,RH,hazmat,True,SUP-027,Q-04-13,True,188,83
FL-8585-185,Coolant additive RH,Fluids,9.42,9.42,9.42,LH,LH,ambient,False,SUP-195,JIS-07-01,True,104,68
PO-1441-186,Gear selector RH,Powertrain,21.21,21.21,21.21,LH,LH,ambient,False,SUP-112,JIS-07-12,True,61,41
FL-8643-187,Brake fluid reservoir Premium,Fluids,21.78,21.78,21.78,LH,LH,ambient,False,SUP-005,B-07-06,True,178,88
EL-3802-188,Radar sensor RH,Electronics,2.9,2.9,2.9,LH,LH,ambient,False,SUP-048,HZ-02-13,True,176,59
PO-7181-189,Gear selector LH,Powertrain,3.79,3.79,3.79,LH,LH,ambient,False,SUP-036,HZ-02-10,True,134,49
EL-5684-190,Radar sensor LH,Electronics,16.2,16.2,16.2,RH,RH,ambient,False,SUP-038,A-12-04,True,219,40
EL-3673-191,Power distribution unit Premium,Electronics,14.1,14.1,14.1,LH,LH,ambient,False,SUP-010,HZ-02-14,True,180,27
PO-3208-192,Torque converter LH,Powertrain,10.32,10.32,10.32,LH,LH,ambient,False,SUP-129,JIS-07-02,True,84,25
CH-1321-193,Control arm LH,Chassis,23.92,23.92,23.92,LH,LH,ambient,False,SUP-037,A-12-18,True,73,69
PO-5591-194,Gear selector Gen 2,Powertrain,22.54,22.54,22.54,RH,RH,ambient,False,SUP-154,JIS-07-04,True,175,35
FL-9395-195,Washer concentrate RH,Fluids,16.04,16.04,16.04,LH,LH,ambient,False,SUP-181,JIS-07-06,True,150,70
EL-3329-196,Radar sensor Premium,Electronics,23.61,23.61,23.61,LH,LH,ambient,False,SUP-156,A-12-05,True,156,48
PO-2138-197,Torque converter RH,Powertrain,21.21,21.21,21.21,LH,LH,ambient,False,SUP-096,A-12-08,True,62,33
EL-3369-198,Radar sensor RH,Electronics,6.85,6.85,6.85,LH,LH,ambient,False,SUP-069,HZ-02-09,True,60,77
EL-4049-199,Camera harness Gen 2,Electronics,17.44,17.44,17.44,RH,RH,ambient,False,SUP-077,Q-04-11,True,209,27
IN-2314-200,Door trim panel Premium,Interior,12.19,12.19,12.19,RH,RH,ambient,False,SUP-184,B-07-12,True,166,58
IN-4368-201,Seat rail LH,Interior,13.65,13.65,13.65,RH,RH,ambient,False,SUP-107,Q-04-15,True,78,50
CH-3496-202,Wheel carrier RH,Chassis,8.34,8.34,8.34,RH,RH,ambient,False,SUP-078,Q-04-16,True,152,43
PO-5944-203,Fuel rail Premium,Powertrain,1.15,1.15,1.15,LH,LH,ambient,False,SUP-197,JIS-07-06,True,144,48
IN-9367-204,Wiring harness assembly LH,Interior,19.09,19.09,19.09,RH,RH,ambient,False,SUP-164,B-07-17,True,172,86
FL-8366-205,Washer concentrate RH,Fluids,0.7,0.7,0.7,RH,RH,ambient,False,SUP-076,Q-04-10,True,120,57
FL-2358-206,Sealant cartridge LH,Fluids,13.66,13.66,13.66,RH,RH,ambient,False,SUP-002,B-07-04,True,77,42
IN-6421-207,Seat rail Gen 2,Interior,14.45,14.45,14.45,LH,LH,ambient,False,SUP-023,A-12-06,True,211,48
